WARNING: 1 open meshes merged
     Merged: Box Connect Wing
...Mass Properties...
20 Num Comps
9 Total Num Meshes
6112 Total Num Tris

1595.086289             Total Mass
3.833535 0.000000 0.234515       Center of Gravity
4737.992200 3487.107316 6294.432976       Ixx, Iyy, Izz
0.000179 1201.057661 0.002609       Ixy, Ixz, Iyz
10.553511             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Fuselage	138.341597	3.120740	0.000000	0.020434	65.079509	384.756213	378.139003	0.000148	20.193699	0.002526	8.144952
Main Wing	43.279233	3.465154	2.356506	-0.336058	54.294671	4.926147	59.099313	9.506732	-0.159002	-0.360108	0.210092
Main Wing	43.279191	3.465154	-2.356504	-0.336058	54.294426	4.926135	59.099053	-9.506680	-0.158999	0.360126	0.210049
Box V Wing	15.321320	4.371325	4.995519	0.751329	6.157376	7.270551	1.963905	0.688437	2.545605	1.548971	0.046435
Box V Wing	15.321305	4.371325	-4.995519	0.751330	6.157357	7.270532	1.963902	-0.688435	2.545600	-1.548966	0.046434
Box Connect Wing	177.977954	5.704011	0.000000	1.785845	1233.452884	65.319739	1297.700393	-0.000032	-0.010393	0.000246	1.403459
Rear V Tail	29.204910	6.243317	0.000000	1.724919	14.574421	21.780740	7.296356	0.000000	7.838202	0.000000	0.164782
Prop Wing Comps	34.530389	4.262003	2.214083	0.615160	29.193092	2.202898	31.328198	-0.061194	-0.000175	-0.003168	0.163654
Prop Wing Comps	34.530389	4.262003	-2.214083	0.615160	29.193082	2.202899	31.328187	0.061201	-0.000175	0.003136	0.163654
Passengers	500.000000	3.215000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MotorPropMidRR	25.000000	5.200000	2.000000	0.600000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MotorPropMidFL	25.000000	3.300000	-2.000000	0.600000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MotorPropMidRL	25.000000	5.200000	-2.000000	0.600000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MotorPropMidFR	25.000000	3.300000	2.000000	0.600000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MotorPropTopR	25.000000	7.100000	2.220000	1.800000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MotorPropTopL	25.000000	7.100000	-2.220000	1.800000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MotorPropBotL	25.000000	1.600000	-1.500000	-0.300000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MotorPropBotR	25.000000	1.600000	1.500000	-0.300000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Turbogenerator	66.300000	4.524000	0.000000	-0.300000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Batteries	297.000000	3.333000	0.000000	-0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	1595.086289	3.833535	0.000000	0.234515	4737.992200	3487.107316	6294.432976	0.000179	1201.057661	0.002609	10.553511
